v1,State,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,numberofvotes,_merge,votePercent,electvotes,roundedElec
1992,Alabama,AL,1,63,41,US President,"Bush, George H.W.",republican,FALSE,804283,1688060,20171015,NA,9,matched (3),.47645405,4.2880864,4
2000,Alabama,AL,1,63,41,US President,,,TRUE,699,1666272,20171015,NA,9,matched (3),.00041949932,.0037754939,0
2000,Alabama,AL,1,63,41,US President,"Bush, George W.",republican,FALSE,941173,1666272,20171015,NA,9,matched (3),.56483757,5.0835381,5
1980,Alabama,AL,1,63,41,US President,"Rarick, John",conservative,FALSE,15010,1341929,20171015,NA,9,matched (3),.011185391,.10066852,0
2004,Alabama,AL,1,63,41,US President,"Bush, George W.",republican,FALSE,1176394,1883415,20171015,NA,9,matched (3),.62460691,5.6214623,6
1980,Alabama,AL,1,63,41,US President,"Bubar, Benjamin """"Ben""""",statesman,FALSE,1743,1341929,20171015,NA,9,matched (3),.0012988765,.011689888,0
1996,Alabama,AL,1,63,41,US President,"Hagelin, John",natural law,FALSE,1697,1534349,20171015,NA,9,matched (3),.0011060066,.0099540595,0
1984,Alabama,AL,1,63,41,US President,"Serrette, Dennis",alliance,FALSE,659,1441713,20171015,NA,9,matched (3),.00045709513,.0041138562,0
1996,Alabama,AL,1,63,41,US President,,independent,FALSE,95030,1534349,20171015,NA,9,matched (3),.061935063,.55741554,1
1976,Alabama,AL,1,63,41,US President,"Hall, Gus",communist party use,FALSE,1954,1182850,20171015,NA,9,matched (3),.0016519424,.014867482,0
2016,Alabama,AL,1,63,41,US President,"Johnson, Gary",libertarian,FALSE,44467,2123372,20171015,NA,9,matched (3),.020941691,.18847522,0
1992,Alabama,AL,1,63,41,US President,"Marrou, Andre",libertarian,FALSE,5737,1688060,20171015,NA,9,matched (3),.0033985758,.030587181,0
1984,Alabama,AL,1,63,41,US President,"Mondale, Walter",democrat,FALSE,551899,1441713,20171015,NA,9,matched (3),.38280782,3.4452703,3
1980,Alabama,AL,1,63,41,US President,"McReynolds, David",socialist,FALSE,1006,1341929,20171015,NA,9,matched (3),.00074966706,.0067470036,0
2008,Alabama,AL,1,63,41,US President,,,TRUE,3705,2099819,20171015,NA,9,matched (3),.0017644378,.01587994,0
1992,Alabama,AL,1,63,41,US President,Other,independent,FALSE,4128,1688060,20171015,NA,9,matched (3),.0024454107,.022008697,0
1988,Alabama,AL,1,63,41,US President,"Bush, George H.W.",republican,FALSE,815576,1378476,20171015,NA,9,matched (3),.59165049,5.3248544,5
2000,Alabama,AL,1,63,41,US President,"Browne, Harry",libertarian,FALSE,5893,1666272,20171015,NA,9,matched (3),.0035366374,.031829737,0
2016,Alabama,AL,1,63,41,US President,"Clinton, Hillary",democrat,FALSE,729547,2123372,20171015,NA,9,matched (3),.34357947,3.0922153,3
1976,Alabama,AL,1,63,41,US President,"Bubar, Benjamin """"Ben""""",prohibition,FALSE,6669,1182850,20171015,NA,9,matched (3),.0056380774,.050742697,0
2016,Alabama,AL,1,63,41,US President,"Trump, Donald J.",republican,FALSE,1318255,2123372,20171015,NA,9,matched (3),.62083095,5.5874786,6
1984,Alabama,AL,1,63,41,US President,"Bergland, David",libertarian,FALSE,9504,1441713,20171015,NA,9,matched (3),.0065921582,.059329424,0
2000,Alabama,AL,1,63,41,US President,,independent,FALSE,25896,1666272,20171015,NA,9,matched (3),.015541281,.13987152,0
2008,Alabama,AL,1,63,41,US President,"McCain, John",republican,FALSE,1266546,2099819,20171015,NA,9,matched (3),.60316914,5.4285221,5
1996,Alabama,AL,1,63,41,US President,"Dole, Robert",republican,FALSE,769044,1534349,20171015,NA,9,matched (3),.50121844,4.5109658,5
1992,Alabama,AL,1,63,41,US President,"Perot, Ross",independent,FALSE,183109,1688060,20171015,NA,9,matched (3),.10847304,.97625738,1
2004,Alabama,AL,1,63,41,US President,Other,,TRUE,898,1883415,20171015,NA,9,matched (3),.00047679347,.0042911414,0
1996,Alabama,AL,1,63,41,US President,"Clinton, Bill",democrat,FALSE,662165,1534349,20171015,NA,9,matched (3),.43156087,3.884048,4
2012,Alabama,AL,1,63,41,US President,,independent,FALSE,18706,2074338,20171015,NA,9,matched (3),.0090178167,.081160352,0
